Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C24, C27, C29, C31, C4, C6, C7, C8, C9",C_0402,21,100nF,
C10,C_0402,1,1uF,
"C2, C3",C_0402,2,10uF,
"C22, C23, C25, C26",C_0402,4,18pF,
"C28, C5",C_0402,2,10nF,
C30,C_0402,1,2.2nF,
D1,SOD-323,1,1N5819,
D2,LED_0402,1,GREEN,
F1,Fuse_0603_1608Metric,1,500mA,
J1,IPS114,1,IPS114,
J2,USB-Type-C_SMD_16P,1,USB-Type-C,
"J3, J4",BTB_Connector_02x30,2,BTB_02x30,
J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SH1.0_4P,
"J6, J7",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,2,SH1.0_2P,
"R1, R4, R6",R_0402,3,5.1K,
"R10, R11",R_0402,2,22R,
"R12, R7",R_0402,2,10K,
R13,R_0402,1,510R,
"R14, R15, R5",R_0402,3,4.7K,
"R2, R3",R_0402,2,0R,
"R8, R9",R_0402,2,120R,
"SW1, SW2, SW3, SW4",BUTTON_3x4,4,3x4,
U1,SOT-23-5,1,RT9013-33GB,
U2,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,CH343P,
"U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,SN65HVD232,
U5,LQFP-144_20x20mm_P0.5mm,1,MM32F5277E9P,
U6,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
Y1,Crystal_SMD_3215_FC-135_2P,1,32.768KHz,
Y2,Crystal_SMD_3225_4P,1,8MHz,
